Title,Publisher,Address,Core Collection
ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Science Citation Index Expanded
ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Science Citation Index Expanded
ACM SIGECOM EXCHANGES,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Emerging Sources Citation Index
ACM TRANSACTIONS ON ACCESSIBLE COMPUTING,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Emerging Sources Citation Index
ACM TRANSACTIONS ON ALGORITHMS,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Science Citation Index Expanded
ACM TRANSACTIONS ON APPLIED PERCEPTION,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Science Citation Index Expanded
ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Science Citation Index Expanded
ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Science Citation Index Expanded
ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Science Citation Index Expanded
ACM TRANSACTIONS ON COMPUTATIONAL LOGIC,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Science Citation Index Expanded
ACM TRANSACTIONS ON COMPUTATION THEORY,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Emerging Sources Citation Index
ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Science Citation Index Expanded
ACM TRANSACTIONS ON COMPUTER SYSTEMS,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Science Citation Index Expanded
ACM TRANSACTIONS ON COMPUTING EDUCATION,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Science Citation Index Expanded
ACM TRANSACTIONS ON CYBER-PHYSICAL SYSTEMS,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Emerging Sources Citation Index
ACM TRANSACTIONS ON DATABASE SYSTEMS,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Science Citation Index Expanded
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Science Citation Index Expanded
ACM TRANSACTIONS ON ECONOMICS AND COMPUTATION,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Emerging Sources Citation Index
ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Science Citation Index Expanded
ACM TRANSACTIONS ON GRAPHICS,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Science Citation Index Expanded
